Date, Open, High, Low, Close
10/25/16, 190.09, 190.09, 188.64, 189.35
10/24/16, 188.84, 189.65, 188.35, 189.44
10/21/16, 188.84, 189.57, 188.01, 189.40
10/20/16, 189.87, 190.00, 188.50, 188.78
10/19/16, 190.08, 191.35, 189.87, 190.77
10/18/16, 189.85, 190.21, 189.28, 189.78
10/17/16, 189.71, 189.73, 188.20, 189.39
10/14/16, 189.90, 190.05, 188.98, 189.47
10/13/16, 188.15, 189.23, 187.48, 189.14
10/12/16, 189.49, 189.51, 187.82, 188.07
10/11/16, 189.63, 190.06, 188.59, 189.16
10/10/16, 188.87, 190.71, 188.80, 190.28
10/07/16, 188.56, 189.46, 187.92, 188.32
10/06/16, 188.34, 188.71, 187.55, 188.54
10/05/16, 188.52, 188.94, 187.76, 188.78
10/04/16, 186.56, 187.71, 186.35, 187.30
10/03/16, 186.38, 187.29, 184.83, 187.03
09/30/16, 185.47, 186.40, 185.32, 186.32
09/29/16, 186.13, 186.84, 185.11, 185.83
09/28/16, 183.50, 186.31, 181.91, 185.90
09/27/16, 183.80, 184.01, 182.25, 183.11
09/26/16, 183.73, 185.26, 183.42, 184.98
09/23/16, 185.52, 186.02, 182.61, 183.10
09/22/16, 186.76, 187.30, 185.90, 186.32
09/21/16, 184.16, 185.02, 183.80, 184.86
09/20/16, 181.30, 183.07, 180.95, 182.97
09/19/16, 181.85, 182.83, 181.36, 181.64
09/16/16, 179.70, 180.96, 179.16, 180.78
09/15/16, 180.02, 181.15, 179.24, 180.68
09/14/16, 181.00, 181.21, 179.17, 179.49
09/13/16, 181.76, 182.37, 180.48, 180.56
09/12/16, 181.46, 183.77, 181.03, 182.94
09/09/16, 184.10, 184.29, 182.47, 182.54
09/08/16, 183.44, 185.78, 182.68, 185.63
09/07/16, 181.49, 182.50, 180.91, 182.47
09/06/16, 180.27, 180.98, 178.99, 180.90
09/02/16, 179.40, 180.73, 179.24, 179.99
09/01/16, 180.42, 180.51, 178.01, 178.21
08/31/16, 182.15, 182.57, 179.98, 180.21
08/30/16, 184.95, 185.15, 182.39, 182.82
08/29/16, 184.76, 185.03, 184.13, 184.43
08/26/16, 186.11, 188.20, 185.26, 186.11
08/25/16, 185.46, 186.53, 185.31, 186.24
08/24/16, 187.08, 187.93, 185.43, 185.75
08/23/16, 186.61, 188.53, 185.94, 188.38
08/22/16, 186.86, 187.86, 186.82, 187.08
08/19/16, 188.59, 188.87, 187.84, 188.78
08/18/16, 187.33, 189.57, 187.16, 189.34
08/17/16, 186.36, 187.10, 185.50, 186.90
08/16/16, 185.97, 186.78, 184.61, 186.64
08/15/16, 183.07, 185.17, 183.04, 185.14
08/12/16, 181.80, 183.33, 181.57, 182.68
08/11/16, 179.54, 182.64, 179.24, 181.99
08/10/16, 181.75, 182.55, 179.44, 179.55
08/09/16, 182.27, 182.89, 181.27, 181.43
08/08/16, 183.08, 183.31, 182.52, 182.79
08/05/16, 181.16, 181.95, 180.43, 181.80
08/04/16, 179.25, 181.56, 178.99, 181.35
08/03/16, 177.83, 180.14, 177.35, 179.79
08/02/16, 179.19, 180.09, 176.67, 177.32
08/01/16, 180.20, 180.41, 177.96, 178.21
07/29/16, 178.29, 181.14, 177.99, 181.01
07/28/16, 180.07, 180.43, 179.03, 179.21
07/27/16, 180.97, 182.10, 179.37, 179.62
07/26/16, 180.47, 181.78, 179.93, 181.22
07/25/16, 182.35, 182.52, 180.90, 181.31
07/22/16, 183.37, 183.61, 181.72, 182.90
07/21/16, 185.09, 185.63, 183.56, 183.67
07/20/16, 185.58, 186.29, 184.15, 185.09
07/19/16, 188.52, 188.66, 186.01, 186.10
07/18/16, 188.31, 188.44, 186.70, 188.19
07/15/16, 190.11, 190.92, 188.78, 188.86
07/14/16, 190.76, 190.97, 189.66, 190.10
07/13/16, 190.52, 191.47, 188.31, 188.59
